doi,title,publication year,publication venue,type,issue,volume
10.4028/www.scientific.net/msf.483-485.629,J-V Characteristics of Al<sup>+</sup> Ion Implanted p<sup>+</sup>/n 4H-SiC Diodes Annealed in Silane Ambient at 1600°C,2005,Materials Science Forum,journal article,,483-485
10.4028/www.scientific.net/msf.483-485.649,n<sup>+</sup>/p Diodes Realized in SiC by Phosphorus Ion Implantation: Electrical Characterization as a Function of Temperature,2005,Materials Science Forum,journal article,,483-485
10.4028/www.scientific.net/msf.483-485.665,Competition between Oxidation and Recrystallization in Ion Amorphized (0001) 6H-SiC,2005,Materials Science Forum,journal article,,483-485
10.4028/www.scientific.net/msf.389-393.1109,Low-Temperature Thermal Oxidation of Ion-Amorphized 6H-SiC,2002,Materials Science Forum,journal article,,389-393
10.4028/www.scientific.net/msf.483-485.737,Ni-Silicide Contacts to 6H-SiC: Contact Resistivity and Barrier Height on Ion Implanted n-Type and Barrier Height on p-Type Epilayer,2005,Materials Science Forum,journal article,,483-485
10.1016/0921-5107(95)01276-1,A critical review of ohmic and rectifying contacts for silicon carbide,1995,Materials Science and Engineering: B,journal article,2-3,34
10.4028/www.scientific.net/msf.483-485.1021,Measurements of Charge Collection Efficiency of p<sup>+</sup>/n Junction SiC Detectors,2005,Materials Science Forum,journal article,,483-485
10.1109/tns.2003.807855,Study of silicon carbide for X-ray detection and spectroscopy,2003,IEEE Transactions on Nuclear Science,journal article,1,50
10.4028/www.scientific.net/msf.490-491.223,Comparative Neutron and Synchrotron X-Ray Diffraction Studies to Determine Residual Stress on an As-Welded AA2024 Plate,2005,Materials Science Forum,journal article,,490-491
10.1016/s0921-5093(99)00674-7,Recent development in aluminium alloys for aerospace applications,2000,Materials Science and Engineering: A,journal article,1,280
10.4028/www.scientific.net/msf.490-491.294,Residual Stress Mapping in Welds Using the Contour Method,2005,Materials Science Forum,journal article,,490-491
10.4028/www.scientific.net/msf.490-491.649,Sensitivity of a Rotating Beam Sensor for Stress Evaluation in Aluminium Thin Films,2005,Materials Science Forum,journal article,,490-491
10.1107/s002188989300651x,Characterization of thin nickel electrocoatings by the low-incident-beam-angle diffraction method,1994,Journal of Applied Crystallography,journal article,1,27
10.4028/www.scientific.net/msf.498-499.430,Using Experiments Design to Model Linear Firing Shrinkage of Triaxial Ceramic Bodies,2005,Materials Science Forum,journal article,,498-499
10.1002/9781118204221,Experiments with Mixtures,2002,,monograph,,
10.4028/www.scientific.net/msf.498-499.447,"Clays from Southern Brazil: Physical, Chemical and Mineralogical Characterization",2005,Materials Science Forum,journal article,,498-499
10.1016/s0169-1317(01)00042-4,Workability test method for metals applied to examine a workability measure (plastic limit) for clays,2001,Applied Clay Science,journal article,1-2,20
10.4028/www.scientific.net/msf.498-499.540,Anelastic Spectroscopy in TiO<sub>2</sub>,2005,Materials Science Forum,journal article,,498-499
10.1021/es00054a027,Bactericidal Activity of TiO2 Photocatalyst in Aqueous Media: Toward a Solar-Assisted Water Disinfection System,1994,Environmental Science & Technology,journal article,5,28
10.4028/www.scientific.net/msf.498-499.564,Anelastic Spectroscopy in Al<sub>2</sub>O<sub>3</sub>,2005,Materials Science Forum,journal article,,498-499
10.1016/0955-2219(95)00207-3,Wear behaviour of alumina and sialon in line contact lubricated with diamond slurry,1996,Journal of the European Ceramic Society,journal article,8,16
10.4028/www.scientific.net/msf.498-499.558,Sintering of a Clay Material with Granite and Marble Reject,2005,Materials Science Forum,journal article,,498-499
10.1016/s0040-6031(02)00070-9,Thermal and mechanical study from granite and marble industry reject,2002,Thermochimica Acta,journal article,,392-393
10.4028/www.scientific.net/msf.498-499.581,Anelastic Spectroscopy in Superconducting Oxides,2005,Materials Science Forum,journal article,,498-499
